ilan_no,site,yil,marka,model,km,yakit,vites,fiyat,kaynak,veri_tipi
3192e0ca,manuel_ekleme,2021,BMW,3 Serisi,32000,Benzin,Otomatik,1850000,sentetik,ai_uretilen
e6cce483,manuel_ekleme,2022,BMW,3 Serisi,18000,Benzin,Otomatik,2100000,sentetik,ai_uretilen
d7dbf6e9,manuel_ekleme,2017,BMW,5 Serisi,88000,Dizel,Otomatik,1450000,sentetik,ai_uretilen
6900e36b,manuel_ekleme,2019,BMW,5 Serisi,62000,Dizel,Otomatik,1750000,sentetik,ai_uretilen
2a2b384d,manuel_ekleme,2021,BMW,5 Serisi,35000,Benzin,Otomatik,2200000,sentetik,ai_uretilen
8bcc3bc1,manuel_ekleme,2023,BMW,5 Serisi,7000,Benzin,Otomatik,2800000,sentetik,ai_uretilen
b3ce467e,manuel_ekleme,2015,Mercedes,C Serisi,115000,Dizel,Otomatik,1050000,sentetik,ai_uretilen
8a3f8f60,manuel_ekleme,2016,Mercedes,C Serisi,100000,Dizel,Otomatik,1150000,sentetik,ai_uretilen
b394baa0,manuel_ekleme,2017,Mercedes,C Serisi,88000,Benzin,Otomatik,1300000,sentetik,ai_uretilen
17e841f3,manuel_ekleme,2021,Mercedes,C Serisi,30000,Benzin,Otomatik,1900000,sentetik,ai_uretilen
134338c4,manuel_ekleme,2022,Mercedes,C Serisi,16000,Benzin,Otomatik,2150000,sentetik,ai_uretilen
e9e05af4,manuel_ekleme,2017,Mercedes,E Serisi,90000,Dizel,Otomatik,1650000,sentetik,ai_uretilen
ac348f71,manuel_ekleme,2019,Mercedes,E Serisi,65000,Dizel,Otomatik,2050000,sentetik,ai_uretilen
dc1bbc16,manuel_ekleme,2021,Mercedes,E Serisi,38000,Benzin,Otomatik,2600000,sentetik,ai_uretilen
70253834,manuel_ekleme,2023,Mercedes,E Serisi,8000,Benzin,Otomatik,3200000,sentetik,ai_uretilen
4879228e,manuel_ekleme,2016,Honda,Civic,108000,Benzin,Otomatik,580000,sentetik,ai_uretilen
9c613f33,manuel_ekleme,2018,Honda,Civic,82000,Benzin,Otomatik,720000,sentetik,ai_uretilen
1e1fd70d,manuel_ekleme,2020,Honda,Civic,48000,Benzin,Otomatik,880000,sentetik,ai_uretilen
8943dd82,manuel_ekleme,2022,Honda,Civic,17000,Benzin,Otomatik,1050000,sentetik,ai_uretilen
0f3a2dd2,manuel_ekleme,2023,Honda,Civic,6000,Benzin,Otomatik,1180000,sentetik,ai_uretilen
cd248a15,manuel_ekleme,2015,Opel,Astra,128000,Dizel,Manuel,400000,sentetik,ai_uretilen
dfde7d40,manuel_ekleme,2017,Opel,Astra,98000,Dizel,Manuel,480000,sentetik,ai_uretilen
b0758678,manuel_ekleme,2019,Opel,Astra,68000,Benzin,Otomatik,620000,sentetik,ai_uretilen
0f2494c3,manuel_ekleme,2021,Opel,Astra,32000,Benzin,Otomatik,780000,sentetik,ai_uretilen
45dacabb,manuel_ekleme,2016,Skoda,Octavia,112000,Dizel,Manuel,520000,sentetik,ai_uretilen
bf700954,manuel_ekleme,2018,Skoda,Octavia,85000,Dizel,Otomatik,680000,sentetik,ai_uretilen
33b7deec,manuel_ekleme,2020,Skoda,Octavia,50000,Benzin,Otomatik,850000,sentetik,ai_uretilen
ff6b3bab,manuel_ekleme,2022,Skoda,Octavia,18000,Benzin,Otomatik,1020000,sentetik,ai_uretilen
88daddc6,manuel_ekleme,2016,Fiat,Egea,115000,Dizel,Manuel,420000,sentetik,ai_uretilen
7a5e0289,manuel_ekleme,2018,Fiat,Egea,88000,Benzin,Manuel,490000,sentetik,ai_uretilen
1c2d8c61,manuel_ekleme,2020,Fiat,Egea,52000,Benzin,Manuel,580000,sentetik,ai_uretilen
bedb9e99,manuel_ekleme,2022,Fiat,Egea,20000,Benzin,Otomatik,720000,sentetik,ai_uretilen
d5ed2a1d,manuel_ekleme,2016,Volkswagen,Passat,225000,Dizel,Otomatik,1599000,gercek,elle_girilmis
d1bf7ce7,manuel_ekleme,2019,Renault,Megane,193000,Benzin,Manuel,899000,gercek,elle_girilmis
baadef90,manuel_ekleme,2021,Renault,Clio,180000,Benzin,Otomatik,859000,gercek,elle_girilmis
0e10ff1f,manuel_ekleme,2016,Volkswagen,Passat,217000,Benzin,Otomatik,1525000,gercek,elle_girilmis
7c919a27,manuel_ekleme,2021,Ford,Focus,223000,Dizel,Otomatik,1149750,gercek,elle_girilmis
bc598b36,manuel_ekleme,2017,Mercedes,C Serisi,193000,Dizel,Otomatik,1760000,gercek,elle_girilmis
f4e3a63b,manuel_ekleme,2006,Audi,A4,325000,Benzin,Manuel,557000,gercek,elle_girilmis
04d1b09b,manuel_ekleme,2016,Nissan,Pulsar,165000,Dizel,Manuel,795000,gercek,elle_girilmis
93d5ca9f,manuel_ekleme,2018,Honda,Civic,121450,Benzin,Otomatik,1475000,gercek,elle_girilmis
e3bd22d8,manuel_ekleme,2023,Opel,Astra,107000,Dizel,Otomatik,1285000,gercek,elle_girilmis
77eabb98,manuel_ekleme,2013,Skoda,SuperB,225000,Dizel,Otomatik,1150000,gercek,elle_girilmis
43036c30,manuel_ekleme,2022,Renault,Clio,87000,Benzin,Otomatik,970000,gercek,elle_girilmis
d105ad84,manuel_ekleme,2011,Opel,Insignia,90000,Benzin,Manuel,750000,gercek,elle_girilmis
32ed12a8,manuel_ekleme,2019,Ford,Focus,164000,Dizel,Otomatik,1065000,gercek,elle_girilmis
0b22b0e9,manuel_ekleme,2015,Fiat,Linea,217000,Dizel,Manuel,430000,gercek,elle_girilmis
fb662d4e,manuel_ekleme,2013,Renault,Fluence,236800,Dizel,Otomatik,778000,gercek,elle_girilmis
d20c7012,manuel_ekleme,2017,Seat,Ibiza,118000,Benzin,Manuel,960000,gercek,elle_girilmis
7c6ab3ea,manuel_ekleme,2019,Peugeot,301,235000,Dizel,Manuel,695000,gercek,elle_girilmis
1622f6b5,manuel_ekleme,2015,Opel,Insignia,142000,Dizel,Otomatik,1049000,gercek,elle_girilmis
da35a875,manuel_ekleme,2015,Kia,Rio,160000,Dizel,Manuel,755000,gercek,elle_girilmis
71c44d01,manuel_ekleme,2016,Fiat,Egea,89000,Benzin,Manuel,849000,gercek,elle_girilmis
498f9069,manuel_ekleme,2002,Volkswagen,Polo,244000,Benzin,Manuel,340000,gercek,elle_girilmis
7903e59a,manuel_ekleme,2012,Toyota,Corolla,203000,Dizel,Manuel,555000,gercek,elle_girilmis
ff608eec,manuel_ekleme,2012,Skoda,SuperB,268000,Dizel,Manuel,875000,gercek,elle_girilmis
435b3aee,manuel_ekleme,2012,Peugeot,207,82000,Benzin,Otomatik,775000,gercek,elle_girilmis
807e90d9,manuel_ekleme,2017,Dacia,Sandero,87000,Benzin,Manuel,775000,gercek,elle_girilmis
9725ba46,manuel_ekleme,2019,Seat,Leon,180000,Dizel,Otomatik,1395000,gercek,elle_girilmis
b974395b,manuel_ekleme,2020,Audi,A3,60000,Benzin,Otomatik,2105000,gercek,elle_girilmis
5af6e5f8,manuel_ekleme,1998,BMW,3 Serisi,266000,Benzin,Otomatik,269750,gercek,elle_girilmis
9fdf1943,manuel_ekleme,2013,Volkswagen,Golf,265000,Dizel,Manuel,765000,gercek,elle_girilmis
32050192,manuel_ekleme,2022,Hyundai,i20,78500,Benzin,Manuel,995000,gercek,elle_girilmis
435fdec9,manuel_ekleme,2008,Peugeot,308,193000,Benzin,Otomatik,650000,gercek,elle_girilmis
29790468,manuel_ekleme,2013,Fiat,Linea,133000,Benzin,Manuel,575000,gercek,elle_girilmis
c564e2ce,manuel_ekleme,2007,Opel,Corsa,205000,Dizel,Manuel,385000,gercek,elle_girilmis
764987df,manuel_ekleme,2023,Skoda,Fabia,57000,Benzin,Otomatik,1415000,gercek,elle_girilmis
8bd80b24,manuel_ekleme,2016,BMW,5 Serisi,165000,Benzin,Otomatik,1550000,gercek,elle_girilmis
3033c0ea,manuel_ekleme,2018,Skoda,SuperB,187000,Dizel,Otomatik,1290000,gercek,elle_girilmis
3f237961,manuel_ekleme,2013,Fiat,Punto,235000,Dizel,Manuel,450000,gercek,elle_girilmis
653b1f89,manuel_ekleme,2016,Volkswagen,Jetta,159000,Benzin,Otomatik,1270000,gercek,elle_girilmis
97fd10ce,manuel_ekleme,2021,Hyundai,i20,132000,Benzin,Otomatik,1175000,gercek,elle_girilmis
4a885fc5,manuel_ekleme,2023,Opel,Corsa,30000,Benzin,Otomatik,1375000,gercek,elle_girilmis
dda85d4c,manuel_ekleme,2020,BMW,5 Serisi,205000,Benzin,Otomatik,2800000,gercek,elle_girilmis
07991691,manuel_ekleme,2010,Citroen,C5,285000,Dizel,Manuel,447000,gercek,elle_girilmis
9ad36197,manuel_ekleme,2021,Honda,Civic,56000,Benzin,Otomatik,1880000,gercek,elle_girilmis
0bebb737,manuel_ekleme,2016,Hyundai,i20,120000,Dizel,Manuel,965000,gercek,elle_girilmis
e43b08f4,manuel_ekleme,2024,Opel,Corsa,17000,Benzin,Otomatik,1395000,gercek,elle_girilmis
7d28d22b,manuel_ekleme,2012,Volkswagen,Polo,188000,Dizel,Manuel,740000,gercek,elle_girilmis
86e47f60,manuel_ekleme,2018,Hyundai,Accent Blue,100000,Dizel,Otomatik,1059000,gercek,elle_girilmis
deb674d8,manuel_ekleme,2023,Renault,Taliant,80000,Benzin,Otomatik,1000000,gercek,elle_girilmis
f27ded8c,manuel_ekleme,2021,Seat,Leon,49000,Benzin,Otomatik,1409000,gercek,elle_girilmis
41125027,arabam.com,2025,Opel,Corsa,27000,Benzin,Otomatik,1428000,gercek,scrape_edilmis
40739564,arabam.com,2014,Renault,Clio,154000,Dizel,Otomatik,945000,gercek,scrape_edilmis
40727893,arabam.com,2018,Renault,Clio,251000,Dizel,Manuel,685000,gercek,scrape_edilmis
39641714,arabam.com,2012,Renault,Megane,256000,Dizel,Manuel,635000,gercek,scrape_edilmis
40575497,arabam.com,2014,Volkswagen,Golf,87000,Benzin,Manuel,1145000,gercek,scrape_edilmis
41266378,arabam.com,2023,Citroen,C3,19000,Benzin,Otomatik,1220000,gercek,scrape_edilmis
41228414,arabam.com,2017,Mercedes - Benz,C,205000,Dizel,Otomatik,1900000,gercek,scrape_edilmis
41262578,arabam.com,2017,Opel,Corsa,96000,Benzin,Otomatik,879000,gercek,scrape_edilmis
41263724,arabam.com,2000,Renault,Clio,340000,Benzin,Manuel,269000,gercek,scrape_edilmis
41001424,arabam.com,2008,Ford,Focus,275000,Benzin,Otomatik,445000,gercek,scrape_edilmis
41172690,arabam.com,2008,Audi,A4,286000,Benzin,Manuel,699000,gercek,scrape_edilmis
41260407,arabam.com,2013,Hyundai,i20,260000,Dizel,Manuel,485000,gercek,scrape_edilmis
41260334,arabam.com,2016,Fiat,Egea,155000,Dizel,Manuel,715000,gercek,scrape_edilmis
29223682,arabam.com,1996,Mercedes - Benz,C,275000,Benzin,Manuel,425000,gercek,scrape_edilmis
40997060,arabam.com,2016,Audi,A3,257000,Dizel,Otomatik,1230000,gercek,scrape_edilmis
40862346,arabam.com,2013,Volkswagen,Passat,232000,Benzin,Otomatik,895000,gercek,scrape_edilmis
40845175,arabam.com,2021,Volkswagen,Passat,160000,Benzin,Otomatik,1697000,gercek,scrape_edilmis
40841649,arabam.com,2020,Volkswagen,Golf,155000,Benzin,Otomatik,1360000,gercek,scrape_edilmis
40745502,arabam.com,2020,Renault,Megane,200000,Dizel,Otomatik,1139000,gercek,scrape_edilmis
40744933,arabam.com,2021,Renault,Clio,58000,Benzin,Otomatik,1145000,gercek,scrape_edilmis
40614740,arabam.com,2016,Citroen,C-Elysée,252000,Dizel,Manuel,630000,gercek,scrape_edilmis
40602798,arabam.com,2022,Fiat,Egea,152000,Benzin,Manuel,829900,gercek,scrape_edilmis
41257811,arabam.com,2012,Toyota,Auris,182000,Dizel,Manuel,705000,gercek,scrape_edilmis
40118019,arabam.com,2004,Renault,Megane,280000,Benzin,Manuel,475000,gercek,scrape_edilmis
39682529,arabam.com,2024,Fiat,Egea,85000,Dizel,Otomatik,1165000,gercek,scrape_edilmis
38789158,arabam.com,2015,Toyota,Corolla,77000,Benzin,Otomatik,1235000,gercek,scrape_edilmis
34464190,arabam.com,2014,Citroen,C-Elysée,211500,Dizel,Manuel,649500,gercek,scrape_edilmis
40111259,arabam.com,2005,Ford,Fiesta,110200,Benzin,Manuel,510000,gercek,scrape_edilmis
40841892,arabam.com,2009,Fiat,Punto,135000,Benzin,Manuel,485000,gercek,scrape_edilmis
40835036,arabam.com,2016,Volkswagen,Golf,169000,Benzin,Manuel,1095000,gercek,scrape_edilmis
40588125,arabam.com,2025,Citroen,C4,20000,Benzin,Otomatik,1535000,gercek,scrape_edilmis
40511970,arabam.com,2019,Volkswagen,Polo,120000,Benzin,Otomatik,1215000,gercek,scrape_edilmis
40482839,arabam.com,2009,Mercedes - Benz,E,390000,Dizel,Otomatik,1399999,gercek,scrape_edilmis
40394910,arabam.com,2021,Renault,Megane,141000,Dizel,Otomatik,1165000,gercek,scrape_edilmis
40076979,arabam.com,2014,Dacia,Sandero,212000,Dizel,Manuel,690000,gercek,scrape_edilmis
40007429,arabam.com,2018,Volkswagen,Polo,163000,Dizel,Otomatik,1175000,gercek,scrape_edilmis
41255854,arabam.com,2001,Renault,Clio,277000,Benzin,Manuel,285000,gercek,scrape_edilmis
41255706,arabam.com,2019,Renault,Megane,44300,Benzin,Manuel,1175000,gercek,scrape_edilmis
41255648,arabam.com,2018,Dacia,Sandero,147000,Dizel,Manuel,915000,gercek,scrape_edilmis
41255554,arabam.com,2016,Toyota,Yaris,112000,Benzin,Otomatik,1025000,gercek,scrape_edilmis
41255352,arabam.com,2023,Renault,Clio,51000,Benzin,Otomatik,1249000,gercek,scrape_edilmis
41254830,arabam.com,2019,Audi,A3,194000,Dizel,Otomatik,1720000,gercek,scrape_edilmis
41253961,arabam.com,2014,BMW,5 Serisi,184000,Benzin,Otomatik,1495000,gercek,scrape_edilmis
40935802,arabam.com,2024,Hyundai,i20,19000,Benzin,Otomatik,1425000,gercek,scrape_edilmis
41250808,arabam.com,2006,Renault,Megane,294000,Benzin,Manuel,439000,gercek,scrape_edilmis
41250798,arabam.com,2004,Renault,Clio,150000,Benzin,Manuel,409000,gercek,scrape_edilmis
40824392,arabam.com,2015,Skoda,Octavia,230000,Dizel,Otomatik,1230000,gercek,scrape_edilmis
40823369,arabam.com,2008,Volkswagen,Jetta,326000,Benzin,Otomatik,410000,gercek,scrape_edilmis
40729508,arabam.com,2018,Renault,Symbol,239000,Dizel,Manuel,725000,gercek,scrape_edilmis
41250272,arabam.com,2012,Fiat,Linea,163000,Dizel,Manuel,630000,gercek,scrape_edilmis
40021020,arabam.com,2004,Nissan,Micra,95000,Benzin,Manuel,530000,gercek,scrape_edilmis
41233825,arabam.com,2017,Renault,Megane,205000,Dizel,Otomatik,815000,gercek,scrape_edilmis
39094649,arabam.com,2017,Ford,Focus,65000,Benzin,Manuel,1220000,gercek,scrape_edilmis
41248852,arabam.com,2023,Peugeot,308,48000,Benzin,Otomatik,1470000,gercek,scrape_edilmis
40530701,arabam.com,2016,Toyota,Corolla,157000,Benzin,Manuel,965000,gercek,scrape_edilmis
40529505,arabam.com,2014,Volkswagen,VW CC,197000,Dizel,Otomatik,1090000,gercek,scrape_edilmis
40527983,arabam.com,2012,Volkswagen,Passat,154000,Benzin,Otomatik,1247000,gercek,scrape_edilmis
40523795,arabam.com,2020,Suzuki,Swift,110000,Benzin,Otomatik,1034750,gercek,scrape_edilmis
40522417,arabam.com,2001,Renault,Clio,330000,Benzin,Manuel,249000,gercek,scrape_edilmis
40518078,arabam.com,2010,Ford,Fiesta,191000,Dizel,Manuel,568000,gercek,scrape_edilmis
41242942,arabam.com,2000,Volkswagen,Golf,347000,Benzin,Manuel,550000,gercek,scrape_edilmis
41242389,arabam.com,2023,Peugeot,508,12000,Dizel,Otomatik,2300000,gercek,scrape_edilmis
41240471,arabam.com,2017,Opel,Astra,130000,Benzin,Otomatik,1079000,gercek,scrape_edilmis
41239744,arabam.com,2015,Volkswagen,Golf,224000,Dizel,Otomatik,1300000,gercek,scrape_edilmis
41238414,arabam.com,2018,Renault,Megane,175000,Dizel,Otomatik,1099000,gercek,scrape_edilmis
41238033,arabam.com,2019,Toyota,Corolla,72000,Hibrit,Otomatik,1420000,gercek,scrape_edilmis
41230748,arabam.com,2015,BMW,4 Serisi,179000,Benzin,Otomatik,1675000,gercek,scrape_edilmis
39624573,arabam.com,2012,Volkswagen,Golf,170000,Dizel,Otomatik,1159000,gercek,scrape_edilmis
41237273,arabam.com,2017,Volkswagen,Passat,195000,Dizel,Otomatik,1349900,gercek,scrape_edilmis
41237243,arabam.com,2007,Citroen,C3,135000,Benzin,Manuel,449900,gercek,scrape_edilmis
41236567,arabam.com,2008,Renault,Symbol,192000,Benzin,Manuel,390000,gercek,scrape_edilmis
41236786,arabam.com,2017,BMW,5 Serisi,123000,Benzin,Otomatik,2975000,gercek,scrape_edilmis
1322361823,sahibinden.com,2003,Volkswagen,Bora,288000,Benzin,Otomatik,369000,gercek,scrape_edilmis
1295650282,sahibinden.com,2014,Skoda,Superb,209000,Dizel,Otomatik,1350000,gercek,scrape_edilmis
1321178061,sahibinden.com,2023,Renault,Clio,77000,Benzin,Manuel,865000,gercek,scrape_edilmis
1307637807,sahibinden.com,2015,Hyundai,Accent Blue 1.4 D-CVVT,167000,Benzin,Manuel,789000,gercek,scrape_edilmis
1322357905,sahibinden.com,2016,Toyota,Corolla,158000,Dizel,Otomatik,1175000,gercek,scrape_edilmis
1311217422,sahibinden.com,2011,Ford,Focus,487000,Dizel,Manuel,370000,gercek,scrape_edilmis
1321537016,sahibinden.com,2005,Honda,Civic,375000,Benzin,Otomatik,565000,gercek,scrape_edilmis
1322361109,sahibinden.com,2017,Peugeot,308,168000,Dizel,Otomatik,975000,gercek,scrape_edilmis
1322362852,sahibinden.com,1999,Opel,Astra,225000,Benzin,Manuel,375000,gercek,scrape_edilmis
1321064652,sahibinden.com,2000,Audi,A3,264800,Benzin,Otomatik,347000,gercek,scrape_edilmis
1322359184,sahibinden.com,2011,Opel,Insignia,328000,Dizel,Otomatik,495000,gercek,scrape_edilmis
1316593378,sahibinden.com,2011,Volkswagen,Golf,165000,Benzin,Manuel,779999,gercek,scrape_edilmis
1322362013,sahibinden.com,2022,Renault,Megane,125000,Benzin,Otomatik,1200000,gercek,scrape_edilmis
1322358337,sahibinden.com,2013,Volkswagen,Golf,192000,Dizel,Otomatik,1200000,gercek,scrape_edilmis
1322354905,sahibinden.com,2024,Renault,Megane,93000,Benzin,Otomatik,1460000,gercek,scrape_edilmis
1322354127,sahibinden.com,2017,Renault,Megane,122000,Dizel,Otomatik,1290000,gercek,scrape_edilmis
1322346354,sahibinden.com,2007,Volvo,C70,151000,Benzin,Otomatik,1275000,gercek,scrape_edilmis
1316919944,sahibinden.com,2018,Opel,Corsa,101500,Benzin,Otomatik,1015000,gercek,scrape_edilmis
1313982225,sahibinden.com,2020,BMW,5 Serisi,120000,Benzin,Otomatik,3270000,gercek,scrape_edilmis
1322330219,sahibinden.com,2005,Alfa Romeo,147,208000,Benzin,Manuel,385000,gercek,scrape_edilmis
1295952780,sahibinden.com,2022,Renault,Megane,88000,Benzin,Otomatik,1399999,gercek,scrape_edilmis
1322346488,sahibinden.com,2012,Audi,A1,219000,Dizel,Otomatik,848000,gercek,scrape_edilmis
1317087372,sahibinden.com,2019,Ford,Focus,143500,Dizel,Otomatik,1635000,gercek,scrape_edilmis
1322342565,sahibinden.com,2012,BMW,3 Serisi,115000,Benzin,Otomatik,1249000,gercek,scrape_edilmis
1322336015,sahibinden.com,2021,Toyota,Corolla,33000,Benzin,Otomatik,1595000,gercek,scrape_edilmis
